Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-07,SEA at MIL,SEA,MIL,5,-125,-115,-120,-115,,-105,-120,,-125,-125,-105,,-125,,,,,+102,-125,-108,-105,,-125,-108,,+102,+102,-125,,-105,,,,
2024-04-07,CWS at KC,CWS,KC,4.5,-120,-115,-124,-115,,-130,-125,,-124,-124,-130,,-125,,,,,-108,+100,-104,-105,,+100,-104,,+100,+100,+100,,-105,,,,
2024-04-07,MIA at STL,MIA,STL,5,-128,-137,-105,-105,,-105,-146,,-137,-137,-105,,-105,,,,,-102,-115,-115,-115,,-125,+112,,+110,+110,-125,,-125,,,,
2024-04-07,LAD at CHC,LAD,CHC,4.5,-103,-110,-115,-110,,-115,-118,,-125,-125,-115,,-115,,,,,-121,+100,-110,-110,,-110,-110,,+100,+100,-110,,-115,,,,
2024-04-07,TB at COL,TB,COL,6,-113,-110,-115,-115,,-110,-140,,+110,+110,-110,,-125,,,,,-110,-137,-105,-105,,-120,+108,,-137,-137,-120,,-105,,,,
2024-04-07,SD at SF,SD,SF,4,+104,-120,-120,-120,,-130,+102,,+116,+116,-130,,-130,,,,,-135,-143,+100,+100,,+100,-132,,-143,-143,+100,,+100,,,,
2024-04-07,BOS at LAA,BOS,LAA,4.5,-107,-105,-110,-115,,-110,-114,,-105,-105,-110,,-115,,,,,-117,-105,-115,-105,,-120,-114,,-120,-120,-120,,-115,,,,
2024-04-07,HOU at TEX,HOU,TEX,5.5,-112,+100,-105,+100,,-105,-102,,-113,-113,-105,,-105,,,,,-112,-110,-120,-120,,-125,-128,,-110,-110,-125,,-125,,,,
2024-04-08,CWS at CLE,CWS,CLE,4.5,+116,+100,-105,-105,,-105,-102,,-106,-106,-105,,+100,,,,,-143,-115,-125,-115,,-125,-125,,-118,-118,-125,,-130,,,,
2024-04-08,MIA at NYY,MIA,NYY,4.5,-108,+105,+100,+105,,+100,+100,,-104,-104,+100,,+100,,,,,-115,-120,-125,-125,,-130,-130,,-120,-120,-130,,-130,,,,
2024-04-08,DET at PIT,DET,PIT,4,+105,-105,-105,-105,,-125,+110,,+114,+114,-125,,-105,,,,,-130,-141,-125,-115,,-105,-144,,-141,-141,-105,,-125,,,,
2024-04-08,MIL at CIN,MIL,CIN,5,-132,-141,-110,-110,,-110,+112,,-141,-141,-110,,-115,,,,,+107,-110,-115,-110,,-120,-146,,+114,+114,-120,,-115,,,,
2024-04-08,SEA at TOR,SEA,TOR,4,-106,-110,-110,-110,,-120,+108,,+112,+112,-120,,-115,,,,,-118,-139,-115,-110,,-110,-140,,-139,-139,-110,,-115,,,,
2024-04-08,NYM at ATL,NYM,ATL,5.5,-105,+100,-110,+100,,-115,-110,,-114,-114,-115,,-105,,,,,-120,-109,-118,-120,,-115,-118,,-109,-109,-115,,-125,,,,
2024-04-08,LAD at MIN,LAD,MIN,4.5,-115,+100,-115,-110,,-115,-125,,-122,-122,-125,,+100,,,,,-108,-103,-110,-110,,-115,-104,,-103,-103,-105,,-130,,,,
2024-04-08,PHI at STL,PHI,STL,5,-117,-108,-108,-120,,-105,-130,,-108,-108,-105,,+100,,,,,-106,-125,-115,+100,,-125,+100,,-115,-115,-125,,-130,,,,
2024-04-08,HOU at TEX,HOU,TEX,5,-115,-125,-114,-125,,-130,+100,,-114,-114,-130,,-105,,,,,-114,-109,-109,+105,,+100,-130,,-109,-109,+100,,-125,,,,
2024-04-08,ARI at COL,ARI,COL,5.5,-113,-105,-108,-105,,-120,-104,,-108,-108,-120,,-105,,,,,-110,-110,-115,-115,,-110,-122,,-115,-115,-110,,-125,,,,
2024-04-08,TB at LAA,TB,LAA,4.5,+100,-110,-115,-110,,-115,-114,,-113,-113,-115,,-125,,,,,-124,-105,-110,-110,,-110,-114,,-110,-110,-110,,-105,,,,
2024-04-08,CHC at SD,CHC,SD,4,-148,-148,-102,+110,,-125,-102,,-148,-148,-125,,+105,,,,,+117,-130,-105,-130,,-105,-128,,+118,+118,-105,,-135,,,,
2024-04-08,WSH at SF,WSH,SF,4,+102,-110,+100,-110,,-120,+112,,+116,+116,-120,,+100,,,,,-125,-130,-130,-110,,-110,-146,,-143,-143,-110,,-130,,,,
