Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-05,ARI at ATL,ARI,ATL,2.5,-2.5,+114,-115,+118,+130,+130,-115,+118,-120,+128,+128,-115,,+130,,,,,-137,-142,-142,-155,-155,-105,-142,+100,-157,-157,-105,,-155,,,,
2024-04-05,CWS at KC,CWS,KC,1.5,-1.5,-144,-110,-128,-120,-130,-135,-128,-130,-130,-130,-135,,-110,,,,,+120,+110,+106,+100,+110,+110,+106,+110,+107,+107,+110,,-110,,,,
2024-04-05,HOU at TEX,HOU,TEX,-1.5,1.5,+118,+123,+112,+110,+110,+110,+112,+110,+123,+123,+110,,+110,,,,,-142,-130,-134,-130,-130,-135,-134,-130,-150,-150,-135,,-130,,,,
2024-04-05,SEA at MIL,SEA,MIL,1.5,-1.5,+172,-190,-190,-205,-198,-190,-210,-200,+170,+170,-190,,-205,,,,,-210,-220,+155,+170,+164,+155,+172,+165,-220,-220,+155,,+170,,,,
2024-04-05,BOS at LAA,BOS,LAA,-1.5,1.5,+164,-220,+145,-220,+145,+145,+150,+145,+155,+155,+145,,-235,,,,,-200,-175,-175,+180,-175,-175,-182,-175,-190,-190,-175,,+192,,,,
2024-04-06,ATH at DET,ATH,DET,1.5,-1.5,-170,-155,-162,-160,-162,-160,-170,-170,-180,-180,-160,,-155,,,,,+140,+145,+136,+135,+136,+135,+140,+140,+145,+145,+135,,+130,,,,
2024-04-06,CLE at MIN,CLE,MIN,1.5,1.5,-170,-140,-145,-140,-148,-140,-150,-145,-143,-143,-140,,-145,,,,,+140,-300,+117,+120,+124,-300,+125,+125,+117,+117,-300,,+122,,,,
2024-04-06,MIA at STL,MIA,STL,1.5,-1.5,-205,-160,-170,-165,-170,-175,-172,-165,-186,-186,-175,,-160,,,,,+168,+150,+142,+140,+142,+145,+142,+140,+150,+150,+145,,+135,,,,
2024-04-06,LAD at CHC,LAD,CHC,-1.5,1.5,-108,+107,+105,+105,+100,+105,+105,+105,+107,+107,+105,,+100,,,,,-111,-120,-125,-125,-120,-130,-126,-125,-130,-130,-130,,-120,,,,
2024-04-06,PHI at WSH,PHI,WSH,-1.5,1.5,-102,-110,-115,-115,-120,-110,-111,-115,-113,-113,-110,,-120,,,,,-118,+100,-105,-105,+100,-110,-108,-105,-108,-108,-110,,+100,,,,
2024-04-06,BAL at PIT,BAL,PIT,-1.5,1.5,+122,+122,+116,+115,+120,+120,+116,+120,+110,+110,+120,,+122,,,,,-146,-134,-140,-135,-142,-145,-140,-140,-134,-134,-145,,-145,,,,
2024-04-06,NYM at CIN,NYM,CIN,1.5,-1.5,+150,-178,-178,-200,-185,-185,-178,-190,+163,+163,-185,,-190,,,,,-184,-210,+146,+165,+154,+150,+146,+160,-210,-210,+150,,+158,,,,
2024-04-06,HOU at TEX,HOU,TEX,-1.5,1.5,+136,+148,+142,+145,+145,+145,+142,+140,+148,+148,+145,,+135,,,,,-164,-160,-170,-170,-175,-175,-172,-165,-180,-180,-175,,-160,,,,
2024-04-06,TOR at NYY,TOR,NYY,1.5,-1.5,-188,-205,-205,-210,-205,-225,+168,+170,+170,+170,-225,,-205,,,,,+155,-205,+165,+175,+170,+165,-205,-215,-225,-225,+165,,+170,,,,
2024-04-06,SEA at MIL,SEA,MIL,-1.5,1.5,+142,-195,+155,-205,-198,+155,+155,+165,+160,+160,+155,,-195,,,,,-172,-188,-188,+170,+164,-190,-188,-200,-200,-200,-190,,+162,,,,
2024-04-06,CWS at KC,CWS,KC,1.5,-1.5,-134,+105,-102,+105,+100,-105,-102,-105,-105,-105,-105,,+100,,,,,+112,-115,-118,-125,-120,-115,-118,-115,-117,-117,-115,,-120,,,,
2024-04-06,ARI at ATL,ARI,ATL,1.5,1.5,-118,-114,-117,-115,-118,-120,-114,-115,-117,-117,-120,,-115,,,,,-102,-350,-106,-105,-102,-350,-105,-105,-106,-106,-350,,-105,,,,
