Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-05,TB at COL,TB,COL,0.5,+130,-165,-145,,+120,-165,-180,,+150,+150,-165,,-145,,,,,-175,-165,+115,,-165,+130,+140,,-200,-200,+130,,+115,,,,
2024-04-05,BAL at PIT,BAL,PIT,0.5,+235,+105,+105,,+245,+105,+102,,+102,+102,+105,,-105,,,,,-340,-350,-135,,-350,-135,-130,,-127,-127,-135,,-125,,,,
2024-04-05,SD at SF,SD,SF,0.5,+255,+112,+112,,+310,+100,+104,,+112,+112,+100,,+100,,,,,-370,-475,-139,,-475,-130,-132,,-139,-139,-130,,-130,,,,
2024-04-05,NYM at CIN,NYM,CIN,0.5,+200,-108,-106,,+230,-115,-106,,-108,-108,-115,,-125,,,,,-280,-330,-120,,-330,-110,-120,,-115,-115,-110,,-105,,,,
2024-04-05,PHI at WSH,PHI,WSH,0.5,+205,-108,-106,,+220,-110,-106,,-108,-108,-110,,-125,,,,,-285,-310,-120,,-310,-120,-120,,-115,-115,-120,,-105,,,,
2024-04-05,ARI at ATL,ARI,ATL,0.5,+205,-120,-120,,+190,-120,-128,,-122,-122,-120,,-125,,,,,-285,-265,-110,,-265,-110,+100,,-103,-103,-110,,-105,,,,
2024-04-05,CWS at KC,CWS,KC,0.5,+225,-106,-104,,+240,-110,-104,,-106,-106,-110,,-120,,,,,-320,-340,-122,,-340,-120,-122,,-118,-118,-120,,-110,,,,
2024-04-05,HOU at TEX,HOU,TEX,0.5,+195,-125,-125,,+170,-125,-142,,-137,-137,-125,,-125,,,,,-275,-230,-105,,-230,+100,+112,,+110,+110,+100,,-105,,,,
2024-04-05,SEA at MIL,SEA,MIL,0.5,+280,+110,+116,,+270,+110,+116,,+108,+108,+110,,+110,,,,,-425,-400,-148,,-400,-145,-148,,-136,-136,-145,,-140,,,,
2024-04-05,BOS at LAA,BOS,LAA,0.5,+220,-110,-108,,+215,-110,-108,,-115,-115,-110,,-115,,,,,-310,-310,-120,,-310,-120,-118,,-107,-107,-120,,-115,,,,
2024-04-06,ATH at DET,ATH,DET,0.5,+245,-105,+100,,+275,-105,+100,,-112,-112,-105,,-105,,,,,-350,-400,-128,,-400,-120,-128,,-112,-112,-120,,-125,,,,
2024-04-06,CLE at MIN,CLE,MIN,0.5,+215,+100,+106,,+250,+100,+106,,+100,+100,+100,,-120,,,,,-300,-360,-136,,-360,-125,-136,,-124,-124,-125,,-110,,,,
2024-04-06,MIA at STL,MIA,STL,0.5,+230,+107,+107,,+295,+100,+104,,+107,+107,+100,,-115,,,,,-320,-450,-132,,-450,-125,-132,,-132,-132,-125,,-115,,,,
2024-04-06,LAD at CHC,LAD,CHC,0.5,-108,+105,+105,,+250,+105,-104,,-104,-104,+105,,-110,,,,,-115,-370,-135,,-370,-135,-122,,-120,-120,-135,,-120,,,,
